Model,Property Type,Training score,Testing score,MAE,MSE
Decision Tree,Apartment,0.8119562988571367,0.6476053940421094,89450.17241388552,35719558400.59362
Linear Regression,Apartment,0.49008996941877747,0.4849519840375016,110217.24257609856,52206496280.70846
